category,price,link,other_colors,height,depth,width,materials,cost
Chairs,545,https://www.ikea.com/sa/en/p/skruvsta-swivel-chair-lingbo-multicolour-40472861/,Yes,79,69,69,wood,397.85
Chairs,995,https://www.ikea.com/sa/en/p/strandmon-wing-chair-vibberbo-black-beige-20456956/,Yes,101,96,82,wood,776.1
Chairs,195,https://www.ikea.com/sa/en/p/pello-armchair-holmby-natural-50078464/,No,96,85,67,wood,140.4
Chairs,1395,https://www.ikea.com/sa/en/p/ekolsund-recliner-gunnared-light-brown-pink-s59297184/,Yes,97,94,85,steel,1102.05
Chairs,395,https://www.ikea.com/sa/en/p/nilsove-chair-with-armrests-rattan-white-50434312/,No,82,57,57,wood,300.2
Chairs,245,https://www.ikea.com/sa/en/p/agen-chair-rattan-bamboo-50058376/,No,79,56,58,wood,181.3
Chairs,40,https://www.ikea.com/sa/en/p/adde-chair-white-10219178/,Yes,77,47,39,plastic,29.2
Chairs,30,https://www.ikea.com/sa/en/p/gunde-folding-chair-white-60217799/,No,78,45,41,plastic,23.4
Chairs,175,https://www.ikea.com/sa/en/p/nolmyra-easy-chair-birch-veneer-grey-10233532/,Yes,75,75,64,plastic,133
Chairs,495,https://www.ikea.com/sa/en/p/strandmon-childrens-armchair-vissle-grey-70392542/,No,71,62,56,plastic,366.3
Chairs,795,https://www.ikea.com/sa/en/p/groenadal-rocking-chair-grey-natural-90320097/,No,86,81,80,plastic,612.15
Chairs,195,https://www.ikea.com/sa/en/p/ingolf-chair-white-70103250/,Yes,91,52,43,wood,140.4
Chairs,125,https://www.ikea.com/sa/en/p/karljan-chair-dark-grey-kabusa-dark-grey-50341025/,No,81,55,49,plastic,90
Chairs,795,https://www.ikea.com/sa/en/p/remsta-armchair-djuparp-dark-green-blue-green-blue-60344759/,Yes,88,72,60,plastic,596.25
Chairs,995,https://www.ikea.com/sa/en/p/stocksund-bench-ljungen-blue-black-wood-s39129342/,Yes,47,49,144,wood,716.4
Chairs,175,https://www.ikea.com/sa/en/p/ingolf-stool-white-00152282/,Yes,45,30,39,wood,136.5
Chairs,295,https://www.ikea.com/sa/en/p/ikea-ps-gullholmen-rocking-chair-banana-fibre-50039552/,No,75,68,62,wood,227.15
Chairs,59,https://www.ikea.com/sa/en/p/bekvaem-step-stool-beech-60178887/,No,50,39,43,wood,44.25
Chairs,495,https://www.ikea.com/sa/en/p/tossberg-chair-metal-black-grey-90435324/,No,82,56,60,wood,351.45
Chairs,60,https://www.ikea.com/sa/en/p/kyrre-stool-birch-60416925/,No,45,48,42,wood,43.8
Chairs,95,https://www.ikea.com/sa/en/p/teodores-chair-white-90350937/,Yes,80,54,46,steel,70.3
Chairs,675,https://www.ikea.com/sa/en/p/buskbo-armchair-rattan-djupvik-white-s79299016/,No,42,63,72,wood,519.75
Chairs,79.2,https://www.ikea.com/sa/en/p/jokkmokk-chair-antique-stain-90342688/,No,90,47,41,wood,57.816
Chairs,345,https://www.ikea.com/sa/en/p/tobias-chair-transparent-chrome-plated-80349671/,No,82,56,55,plastic,244.95
Chairs,545,https://www.ikea.com/sa/en/p/tullsta-armchair-lofallet-beige-s29272712/,Yes,78,69,79,wood,397.85
Chairs,69,https://www.ikea.com/sa/en/p/stig-bar-stool-with-backrest-black-silver-colour-80155205/,Yes,100,50,60,plastic,48.99
Chairs,975,https://www.ikea.com/sa/en/p/vedbo-armchair-gunnared-light-brown-pink-40423578/,Yes,75,65,73,plastic,770.25
Chairs,199,https://www.ikea.com/sa/en/p/harry-chair-birch-blekinge-white-60105829/,No,96,50,48,wood,153.23
Chairs,345,https://www.ikea.com/sa/en/p/ikea-ps-loemsk-swivel-armchair-white-red-10407136/,No,75,62,59,plastic,244.95
Chairs,179,https://www.ikea.com/sa/en/p/poaeng-childrens-armchair-birch-veneer-almas-natural-90116553/,No,68,60,47,wood,143.2
Chairs,790,https://www.ikea.com/sa/en/p/poaeng-rocking-chair-birch-veneer-hillared-anthracite-s39201026/,Yes,95,94,68,wood,560.9
Chairs,245,https://www.ikea.com/sa/en/p/leifarne-chair-white-ernfrid-birch-s59127808/,No,88,50,52,plastic,181.3
Chairs,1100,https://www.ikea.com/sa/en/p/soederhamn-chaise-longue-samsta-light-pink-s29151296/,Yes,83,151,93,plastic,858
Chairs,295,https://www.ikea.com/sa/en/p/mackapaer-bench-with-storage-compartments-white-10334753/,No,51,35,100,wood,221.25
Chairs,424,https://www.ikea.com/sa/en/p/nilsove-norna-chair-with-chair-pad-rattan-white-laila-natural-s19304006/,No,82,57,57,wood,296.8
Chairs,675,https://www.ikea.com/sa/en/p/ektorp-armchair-lofallet-beige-s79129081/,Yes,88,88,104,plastic,506.25
Chairs,195,https://www.ikea.com/sa/en/p/leifarne-chair-dark-yellow-mosaic-patterned-white-broringe-white-s49304199/,No,87,50,52,steel,144.3
Chairs,85,https://www.ikea.com/sa/en/p/stefan-chair-brown-black-00211088/,No,90,49,42,wood,60.35
Chairs,177,https://www.ikea.com/sa/en/p/odger-chair-brown-50364149/,Yes,81,51,45,plastic,134.52
Chairs,30,https://www.ikea.com/sa/en/p/gunde-folding-chair-black-00217797/,No,78,45,41,plastic,23.7
Chairs,49,https://www.ikea.com/sa/en/p/nisse-folding-chair-black-30115066/,No,76,47,45,plastic,35.77
Chairs,695,https://www.ikea.com/sa/en/p/ekeroe-armchair-skiftebo-yellow-00262879/,Yes,75,73,70,plastic,549.05
Chairs,1295,https://www.ikea.com/sa/en/p/hattefjaell-office-chair-with-armrests-gunnared-beige-white-s49252119/,Yes,110,68,68,plastic,958.3
Chairs,175,https://www.ikea.com/sa/en/p/boerje-chair-white-kungsvik-sand-90211531/,No,100,55,44,wood,129.5
Chairs,125,https://www.ikea.com/sa/en/p/karljan-chair-red-kabusa-red-80443904/,No,81,55,49,plastic,96.25
Chairs,675,https://www.ikea.com/sa/en/p/radviken-armchair-dark-brown-black-50295472/,No,82,73,79,wood,479.25
Chairs,295,https://www.ikea.com/sa/en/p/henriksdal-chair-white-orrsta-light-grey-s19190340/,Yes,97,58,51,plastic,218.3
Chairs,1895,https://www.ikea.com/sa/en/p/groenlid-chaise-longue-ljungen-light-green-s89256262/,Yes,104,164,117,plastic,1345.45
Chairs,99,https://www.ikea.com/sa/en/p/martin-chair-black-black-s09219527/,No,86,52,49,plastic,79.2
Chairs,495,https://www.ikea.com/sa/en/p/hemnes-storage-bench-w-towel-rail-4-hooks-white-30396655/,No,173,37,64,wood,371.25
Chairs,645,https://www.ikea.com/sa/en/p/sakarias-chair-with-armrests-black-lingbo-multicoloured-dark-s09279026/,Yes,96,67,60,steel,503.1
Chairs,595,https://www.ikea.com/sa/en/p/baltsar-chair-black-blue-brown-10413137/,Yes,85,56,58,wood,452.2
Chairs,695,https://www.ikea.com/sa/en/p/bingsta-high-back-armchair-vissle-dark-yellow-kabusa-dark-yellow-40455654/,Yes,101,58,70,wood,556
Chairs,445,https://www.ikea.com/sa/en/p/ulriksberg-armchair-rattan-anthracite-90434310/,No,76,74,67,wood,324.85
Chairs,15,https://www.ikea.com/sa/en/p/foersiktig-childrens-stool-white-green-60248418/,No,13,24,37,plastic,10.8
Chairs,345,https://www.ikea.com/sa/en/p/ingolf-bar-stool-with-backrest-white-10122647/,No,91,45,40,wood,276
Chairs,225,https://www.ikea.com/sa/en/p/sakarias-stool-black-sporda-dark-grey-s79325223/,No,49,51,39,wood,180
Chairs,825,https://www.ikea.com/sa/en/p/koarp-armchair-orrsta-light-blue-black-s99221743/,Yes,75,78,83,steel,618.75
Chairs,327,https://www.ikea.com/sa/en/p/markerad-chair-beech-80433900/,No,76,46,53,wood,255.06
Chairs,179,https://www.ikea.com/sa/en/p/poaeng-childrens-armchair-birch-veneer-almas-beige-s39337911/,No,68,56,47,wood,128.88
Chairs,245,https://www.ikea.com/sa/en/p/svenbertil-chair-white-ernfrid-birch-s59197702/,No,85,51,48,plastic,173.95
Chairs,1695,https://www.ikea.com/sa/en/p/stocksund-armchair-ljungen-medium-grey-light-brown-wood-s49315937/,Yes,84,97,92,steel,1237.35
Chairs,1495,https://www.ikea.com/sa/en/p/benarp-armchair-skiftebo-yellow-40319398/,No,106,83,92,plastic,1196
Chairs,129,https://www.ikea.com/sa/en/p/franklin-bar-stool-with-backrest-foldable-white-white-70404875/,No,95,44,50,wood,99.33
Chairs,49,https://www.ikea.com/sa/en/p/nisse-folding-chair-dark-blue-lilac-90412426/,No,76,47,45,plastic,34.3
Chairs,795,https://www.ikea.com/sa/en/p/skogstorp-bench-oak-white-20426276/,No,45,36,132,wood,604.2
Chairs,110,https://www.ikea.com/sa/en/p/antilop-highchair-with-tray-silver-colour-white-silver-colour-s29067293/,No,90,62,56,plastic,88
Chairs,1795,https://www.ikea.com/sa/en/p/lidhult-armchair-lejde-grey-black-s89256894/,Yes,102,98,119,steel,1364.2
Chairs,79,https://www.ikea.com/sa/en/p/terje-folding-chair-white-80222441/,Yes,77,51,44,wood,62.41
Chairs,345,https://www.ikea.com/sa/en/p/roenninge-chair-birch-10422504/,Yes,79,49,46,wood,269.1
Chairs,50,https://www.ikea.com/sa/en/p/langur-padded-seat-cover-for-highchair-yellow-30346986/,No,40,21,22,plastic,36
Chairs,295,https://www.ikea.com/sa/en/p/henriksdal-chair-brown-nolhaga-grey-beige-s29220780/,Yes,97,58,51,wood,215.35
Chairs,395,https://www.ikea.com/sa/en/p/stuva-fritids-bench-with-toy-storage-white-white-s59252637/,Yes,50,50,90,plastic,284.4
Chairs,995,https://www.ikea.com/sa/en/p/ekenaes-armchair-hensta-light-brown-00276664/,Yes,90,78,86,wood,706.45
Chairs,145,https://www.ikea.com/sa/en/p/lerhamn-chair-light-antique-stain-vittaryd-beige-20259423/,No,85,49,42,wood,114.55
Chairs,225,https://www.ikea.com/sa/en/p/ekedalen-chair-white-orrsta-light-grey-60341015/,No,95,51,43,plastic,157.5
Chairs,597,https://www.ikea.com/sa/en/p/poaeng-rocking-chair-black-brown-knisa-black-s19241537/,Yes,95,94,68,wood,441.78
Chairs,575,https://www.ikea.com/sa/en/p/buskbo-armchair-rattan-70434311/,No,42,63,72,wood,402.5
Chairs,425,https://www.ikea.com/sa/en/p/poaeng-armchair-birch-veneer-knisa-light-beige-s39240787/,Yes,100,82,68,plastic,340
Chairs,195,https://www.ikea.com/sa/en/p/leifarne-chair-dark-yellow-broringe-black-s09304196/,No,87,50,52,plastic,154.05
Chairs,1075,https://www.ikea.com/sa/en/p/havsten-easy-chair-in-outdoor-beige-s39251931/,No,90,94,83,plastic,752.5
Chairs,1425,https://www.ikea.com/sa/en/p/soederhamn-armchair-finnsta-turquoise-s59135648/,Yes,83,99,105,steel,1068.75
Chairs,1345,https://www.ikea.com/sa/en/p/vedbo-high-back-armchair-gunnared-light-brown-pink-10423589/,Yes,108,85,80,steel,941.5
Chairs,295,https://www.ikea.com/sa/en/p/hemnes-bench-with-shoe-storage-white-00243800/,No,65,32,85,plastic,218.3
Chairs,99,https://www.ikea.com/sa/en/p/bekvaem-step-stool-white-40178888/,No,50,39,43,plastic,78.21
Chairs,225,https://www.ikea.com/sa/en/p/henriksdal-chair-frame-white-00141689/,Yes,97,58,51,wood,173.25
Chairs,795,https://www.ikea.com/sa/en/p/svenarne-chair-with-armrests-tallmyra-beige-30427341/,No,99,69,59,wood,620.1
Chairs,175,https://www.ikea.com/sa/en/p/sakarias-stool-frame-black-60463498/,No,49,51,39,wood,138.25
Chairs,150,https://www.ikea.com/sa/en/p/fanbyn-chair-frame-brown-wood-effect-00385069/,No,45,50,50,wood,108
Chairs,57,https://www.ikea.com/sa/en/p/vilto-step-stool-birch-60344453/,No,25,32,40,plastic,42.75
Chairs,149,https://www.ikea.com/sa/en/p/franklin-bar-stool-with-backrest-foldable-black-black-60406785/,No,103,44,52,wood,105.79
Chairs,195,https://www.ikea.com/sa/en/p/svenbertil-chair-black-broringe-black-s99197696/,Yes,84,50,52,wood,150.15
Chairs,260,https://www.ikea.com/sa/en/p/norraryd-chair-white-70273092/,No,83,51,47,wood,187.2
Chairs,345,https://www.ikea.com/sa/en/p/ekedalen-bar-stool-with-backrest-white-orrsta-light-grey-00400545/,No,114,51,43,wood,241.5
Chairs,1500,https://www.ikea.com/sa/en/p/delaktig-platform-armchair-gunnared-light-brown-pink-s19289341/,Yes,45,84,94,steel,1200
Chairs,595,https://www.ikea.com/sa/en/p/karlhugo-chair-oak-nordvalla-dark-grey-80403516/,No,89,58,49,plastic,428.4
Chairs,1948,https://www.ikea.com/sa/en/p/vallentuna-sofa-bed-module-with-backrests-hillared-light-blue-s89277486/,Yes,84,93,113,plastic,1383.08
Chairs,1445,https://www.ikea.com/sa/en/p/hattefjaell-office-chair-with-armrests-smidig-black-black-s89305205/,No,110,68,68,plastic,1069.3
Chairs,995,https://www.ikea.com/sa/en/p/groenlid-armchair-inseros-white-s19275909/,Yes,90,84,87,steel,726.35
Chairs,1468,https://www.ikea.com/sa/en/p/vallentuna-seat-module-with-backrest-hillared-dark-grey-s09276971/,Yes,84,93,113,steel,1130.36
Chairs,275,https://www.ikea.com/sa/en/p/leifarne-chair-with-armrests-dark-yellow-dietmar-white-s59304207/,No,87,50,53,plastic,203.5
Chairs,636,https://www.ikea.com/sa/en/p/nordmela-chest-of-4-drawers-black-blue-10421665/,No,50,44,159,wood,445.2
Chairs,175,https://www.ikea.com/sa/en/p/boerje-chair-brown-gobo-white-20182278/,No,100,55,44,wood,140
Chairs,945,https://www.ikea.com/sa/en/p/gistad-recliner-idekulla-dark-red-40466389/,Yes,96,84,66,steel,727.65
Chairs,382,https://www.ikea.com/sa/en/p/poaeng-armchair-black-brown-knisa-black-s59240828/,Yes,100,82,68,wood,278.86
